artifact_id,value_json,value_key
Figure 1,[],__text__
Figure 2 (headline.pdf),(visual; numerical values are those of Tables 2 and 9),__text__
Figure 3 (scale.pdf),"see tab:scale for paired (width, joint) values",__text__
"Table 1 (tab:ledger, Theory ledger)",[],__text__
"Table 2 (tab:hero, Moderate-N graph-native)","{""delta_pct_vs_StaticCGIF"": {""metrla_GNF"": -23.6, ""metrla_GNF+ACI"": -26.1, ""pems_bay_GNF"": -40.5, ""pems_bay_GNF+ACI"": -40.2}, ""metrla_N20"": {""BestNonFilter (AgACIGroupCGIF)"": [3.33, 0.23, 0.9], ""CopulaCPTS"": [3.7, 0.24, 0.907], ""DiagGRU"": [4.71, 1.16, 0.932], ""GNF"": [3.05, 0.13, 0.91], ""GNF+ACI"": [2.95, 0.17, 0.904], ""MultiDimSPCI"": [4.1, 0.17, 0.901], ""StaticCGIF"": [3.99, 0.17, 0.902]}, ""pems_bay_N50"": {""BestNonFilter (ACIPerGroupFactorCGIF)"": [2.3, 0.09, 0.899], ""CopulaCPTS"": [5.69, 0.74, 0.908], ""DiagGRU"": [2.88, 0.1, 0.921], ""GNF"": [1.98, 0.06, 0.904], ""GNF+ACI"": [1.99, 0.07, 0.899], ""MultiDimSPCI"": [3.4, 0.11, 0.908], ""StaticCGIF"": [3.33, 0.11, 0.907]}}",__json__
"Table 3 (tab:logvol-main, Headline log-volume)","{""metrla_N20"": {""ACIPerGroupFactorCGIF"": 1.36, ""AgACIGroupCGIF"": 1.31, ""GNF"": 1.18, ""StaticCGIF"": 1.45}, ""pems_bay_N50"": {""ACIPerGroupFactorCGIF"": 1.06, ""AgACIGroupCGIF"": 1.04, ""GNF"": 0.81, ""StaticCGIF"": 1.32}}",__json__
"Table 4 (tab:diag-main, Diagnostic summary)","{""rho_DL"": [0.48, 0.5], ""rho_dG"": [0.45, 0.46], ""rho_ind"": 0.85, ""rho_score"": [0.14, 0.153], ""tau_int"": [10, 13]}",__json__
"Table 5 (tab:scale, GPVAR scale sweep)","{""metrla_N20"": {""ACIPerGroupFactorCGIF"": [3.6, 0.28, 0.902], ""CopulaCPTS"": [3.7, 0.24, 0.907], ""GNF"": [3.05, 0.13, 0.91], ""GNF+ACI"": [2.95, 0.17, 0.904], ""KalmanFCP"": [4.69, 0.28, 0.906], ""MultiDimSPCI"": [4.1, 0.17, 0.901], ""StaticCGIF"": [3.99, 0.17, 0.902]}, ""metrla_N207"": {""ACIPerGroupFactorCGIF"": [7.21, 0.0, 0.902], ""CopulaCPTS"": [6.73, 0.04, 0.914], ""GNF"": [9.14, 0.24, 0.902], ""GNF+ACI"": [9.0, 0.6, 0.902], ""KalmanFCP"": [21.2, 0.0, 0.9], ""MultiDimSPCI"": [12.6, 0.0, 0.877], ""StaticCGIF"": [11.8, 0.0, 0.88]}, ""pems_bay_N325"": {""ACIPerGroupFactorCGIF"": [5.64, 0.0, 0.901], ""CopulaCPTS"": [14.4, 1.41, 0.894], ""GNF"": [8.58, 0.28, 0.878], ""GNF+ACI"": [9.01, 0.38, 0.899], ""KalmanFCP"": [51.4, 0.0, 0.852], ""MultiDimSPCI"": [12.7, 0.0, 0.886], ""StaticCGIF"": [12.0, 0.0, 0.887]}, ""pems_bay_N50"": {""ACIPerGroupFactorCGIF"": [2.3, 0.09, 0.899], ""CopulaCPTS"": [5.69, 0.74, 0.908], ""GNF"": [1.98, 0.06, 0.904], ""GNF+ACI"": [1.99, 0.07, 0.899], ""KalmanFCP"": [11.2, 1.03, 0.897], ""MultiDimSPCI"": [3.4, 0.11, 0.908], ""StaticCGIF"": [3.33, 0.11, 0.907]}}",__json__
"Table 6 (tab:backbone-crossover, Full-graph backbone crossover)","{""ACIPerGroupFactorCGIF"": {""gpvar"": [5.64, 0.901], ""gru"": [14.1, 0.902], ""stgnn"": [5.96, 0.9], ""transformer"": [11.4, 0.9]}, ""GNF+ACI"": {""gpvar"": [9.01, 0.899], ""gru"": [8.7, 0.898], ""stgnn"": [9.04, 0.899], ""transformer"": [8.61, 0.899]}}",__json__
"Table 7 (tab:hyperparams, GraphNeuralSSM hyperparameters)","{""see deliverable F"": ""complete table""}",__json__
"Table 8 (tab:method-map, Method→mean→covariance map)",n/a (registry table),__text__
"Table 9 (tab:datasets, Dataset inventory)",see deliverable D,__text__
"Table 10 (tab:taxonomy, Dataset taxonomy)",n/a (registry table),__text__
"Table 11 (tab:tau-int, Integrated autocorrelation time)","{""SYN_GraphLGSSM"": {""analytic"": 12.3, ""analytic_meff"": 285, ""m_over_tau"": 304, ""tau_int"": 11.5}, ""SYN_GraphNeuralSSM"": {""analytic"": 11.5, ""analytic_meff"": 304, ""m_over_tau"": 361, ""tau_int"": 9.7}, ""metrla20_GraphLGSSM"": {""analytic"": 13.0, ""analytic_meff"": 269, ""m_over_tau"": 265, ""tau_int"": 13.2}, ""metrla20_GraphNeuralSSM"": {""analytic"": 11.5, ""analytic_meff"": 304, ""m_over_tau"": 318, ""tau_int"": 11.0}}",__json__
"Table 12 (tab:rho-full, Per-dataset contraction rates)","{""aqi"": {""N"": 12, ""rho_DL"": 0.48, ""rho_M0"": 0.435, ""rho_dG"": 0.45, ""rho_ind"": 0.85, ""rho_score"": 0.149, ""rho_snr"": 0.44, ""rho_tr"": 0.438, ""sigma1"": 0.438}, ""elec"": {""N"": 20, ""rho_DL"": 0.48, ""rho_M0"": 0.43, ""rho_dG"": 0.45, ""rho_ind"": 0.86, ""rho_score"": 0.14, ""rho_snr"": 0.436, ""rho_tr"": 0.433, ""sigma1"": 0.433}, ""ett"": {""N"": 7, ""rho_DL"": 0.48, ""rho_M0"": 0.434, ""rho_dG"": 0.45, ""rho_ind"": 0.86, ""rho_score"": 0.147, ""rho_snr"": 0.438, ""rho_tr"": 0.437, ""sigma1"": 0.437}, ""jena"": {""N"": 20, ""rho_DL"": 0.49, ""rho_M0"": 0.438, ""rho_dG"": 0.46, ""rho_ind"": 0.85, ""rho_score"": 0.153, ""rho_snr"": 0.443, ""rho_tr"": 0.441, ""sigma1"": 0.441}, ""loop_seattle"": {""N"": 20, ""rho_DL"": 0.49, ""rho_M0"": 0.438, ""rho_dG"": 0.46, ""rho_ind"": 0.85, ""rho_score"": 0.152, ""rho_snr"": 0.443, ""rho_tr"": 0.441, ""sigma1"": 0.441}, ""metrla"": {""N"": 20, ""rho_DL"": 0.49, ""rho_M0"": 0.44, ""rho_dG"": 0.46, ""rho_ind"": 0.85, ""rho_score"": 0.153, ""rho_snr"": 0.443, ""rho_tr"": 0.443, ""sigma1"": 0.443}, ""metrla_full"": {""N"": 207, ""rho_DL"": 0.5, ""rho_M0"": 0.415, ""rho_dG"": 0.46, ""rho_ind"": 0.85, ""rho_score"": 0.143, ""rho_snr"": 0.441, ""rho_tr"": 0.418, ""sigma1"": 0.439}, ""pems_bay"": {""N"": 50, ""rho_DL"": 0.49, ""rho_M0"": 0.438, ""rho_dG"": 0.46, ""rho_ind"": 0.85, ""rho_score"": 0.153, ""rho_snr"": 0.443, ""rho_tr"": 0.441, ""sigma1"": 0.441}, ""pems_bay_full"": {""N"": 325, ""rho_DL"": 0.5, ""rho_M0"": 0.412, ""rho_dG"": 0.46, ""rho_ind"": 0.85, ""rho_score"": 0.149, ""rho_snr"": 0.442, ""rho_tr"": 0.415, ""sigma1"": 0.44}, ""solar"": {""N"": 20, ""rho_DL"": 0.49, ""rho_M0"": 0.438, ""rho_dG"": 0.46, ""rho_ind"": 0.85, ""rho_score"": 0.153, ""rho_snr"": 0.443, ""rho_tr"": 0.441, ""sigma1"": 0.441}}",__json__
"Table 13 (tab:multibackbone-mod, Moderate-N multi-backbone replication)","{""ACIPerGroupFactorCGIF"": {""gpvar"": [2.3, 0.899], ""gru"": [2.69, 0.9], ""stgnn"": [2.35, 0.899], ""transformer"": [2.27, 0.899]}, ""GNF+ACI"": {""gpvar"": [1.94, 0.899], ""gru"": [2.02, 0.899], ""stgnn"": [2.07, 0.899], ""transformer"": [2.1, 0.899]}}",__json__
"Table 14 (tab:multibackbone-full, Full-graph multi-backbone)","{""metrla_full"": {""ACIPerGroupFactorCGIF"": {""gpvar"": [7.21, 0.901], ""gru"": [7.81, 0.899], ""stgnn"": [7.21, 0.902], ""transformer"": [7.12, 0.9]}, ""GNF+ACI"": {""gpvar"": [8.87, 0.902], ""gru"": [8.94, 0.902], ""stgnn"": [8.91, 0.903], ""transformer"": [8.72, 0.902]}}, ""pems_bay_full"": {""ACIPerGroupFactorCGIF"": {""gpvar"": [5.64, 0.9], ""gru"": [14.1, 0.902], ""stgnn"": [5.96, 0.9], ""transformer"": [11.4, 0.9]}, ""GNF+ACI"": {""gpvar"": [9.01, 0.899], ""gru"": [8.7, 0.898], ""stgnn"": [9.04, 0.899], ""transformer"": [8.61, 0.899]}}}",__json__
"Table 15 (tab:multibackbone-nontraffic, Non-graph-native panel)","{""ett_N7"": {""Copula_best"": [2.33, 0.895, ""GRU""], ""GNF_GRU"": [3.62, 0.898], ""GNF_STGNN"": [3.7, 0.897], ""GNF_TF"": [3.36, 0.897]}, ""jena_N20"": {""Copula_best"": [3.08, 0.969, ""stgnn""], ""GNF_GRU"": [2.85, 0.899], ""GNF_STGNN"": [2.64, 0.895], ""GNF_TF"": [2.81, 0.894]}, ""loop_seattle_N20"": {""Copula_best"": [2.91, 0.897, ""T""], ""GNF_GRU"": [6.7, 0.902], ""GNF_STGNN"": [6.6, 0.903], ""GNF_TF"": [6.56, 0.9]}, ""solar_N20"": {""Copula_best"": [1.79, 0.918, ""T""], ""GNF_GRU"": [2.56, 0.917], ""GNF_STGNN"": [3.09, 0.914], ""GNF_TF"": [2.92, 0.919]}}",__json__
"Table 16 (tab:hero-full, Extended baseline comparison)",see B.16; full table at sections/09_appendix.tex lines 2399-2430,__text__
"Table 17 (tab:seeds, Per-seed width and coverage)","{""metrla_N20"": {""ACIPerGroupFactorCGIF"": {""seed1"": [3.642, 0.903], ""seed2"": [4.061, 0.902], ""seed3"": [3.659, 0.902]}, ""CGIF-joint"": {""seed1"": [3.764, 0.897], ""seed2"": [4.288, 0.898], ""seed3"": [4.169, 0.899]}, ""CopulaCPTS"": {""seed1"": [3.475, 0.903], ""seed2"": [4.259, 0.905], ""seed3"": [3.624, 0.907]}, ""GNF"": {""seed1"": [2.894, 0.911], ""seed2"": [3.058, 0.907], ""seed3"": [3.177, 0.904]}}, ""pems_bay_N50"": {""ACIPerGroupFactorCGIF"": {""seed1"": [2.27, 0.899], ""seed2"": [2.421, 0.899], ""seed3"": [2.455, 0.899]}, ""CGIF-joint"": {""seed1"": [3.096, 0.902], ""seed2"": [3.376, 0.899], ""seed3"": [3.391, 0.902]}, ""CopulaCPTS"": {""seed1"": [4.51, 0.906], ""seed2"": [7.019, 0.904], ""seed3"": [6.015, 0.889]}, ""GNF"": {""seed1"": [1.994, 0.899], ""seed2"": [1.984, 0.896], ""seed3"": [2.098, 0.898]}}}",__json__
"Table 18 (tab:obs-audit, Finite-horizon observability)","{""SYN_GraphLGSSM"": {""p10"": 0.27, ""p5"": 0.21, ""p50"": 0.61, ""p90"": 0.94, ""verdict"": ""O3""}, ""SYN_GraphNeuralSSM"": {""p10"": 0.18, ""p5"": 0.13, ""p50"": 0.49, ""p90"": 0.83, ""verdict"": ""O3""}, ""metrla20_GraphLGSSM"": {""p10"": 0.24, ""p5"": 0.18, ""p50"": 0.58, ""p90"": 0.97, ""verdict"": ""O3""}, ""metrla20_GraphNeuralSSM"": {""p10"": 0.09, ""p5"": 0.06, ""p50"": 0.41, ""p90"": 1.05, ""verdict"": ""weak-quotient""}}",__json__
"Table 19 (tab:logvol, Per-cell log-volume)","{""metrla_N20"": {""ACIPerGroupFactorCGIF"": 1.36, ""AgACIGroupCGIF"": 1.31, ""CGIF-joint"": 1.45, ""GNF"": 1.18, ""delta_AgACI"": -0.14, ""delta_GNF"": -0.27, ""delta_PerGroup"": -0.09}, ""pems_bay_N50"": {""ACIPerGroupFactorCGIF"": 1.06, ""AgACIGroupCGIF"": 1.04, ""CGIF-joint"": 1.32, ""GNF"": 0.81, ""delta_AgACI"": -0.28, ""delta_GNF"": -0.51, ""delta_PerGroup"": -0.26}}",__json__
"Table 20 (tab:pit, PIT uniformity)","{""aqi_37"": {""failing"": 5, ""failure_type"": ""5 RG (regime gaps)"", ""nodes"": 37, ""passing"": 32}, ""elec_20"": {""failing"": 2, ""failure_type"": ""2 RG (peak-hour bimodality)"", ""nodes"": 20, ""passing"": 18}, ""metrla_20"": {""failing"": 2, ""failure_type"": ""2 ZF (zero-flow gaps)"", ""nodes"": 20, ""passing"": 18}, ""metrla_full"": {""failing"": 16, ""failure_type"": ""10 ZF + 6 RG"", ""nodes"": 207, ""passing"": 191}, ""pems_bay_50"": {""failing"": 3, ""failure_type"": ""2 ZF + 1 RG"", ""nodes"": 50, ""passing"": 47}}",__json__
"Table 21 (tab:timing, Wall-clock and memory)",see deliverable O,__text__
Inline claim — moderate-N -23.6%/-40.5% width vs StaticCGIF,"{""metrla_pct"": -23.6, ""pems_bay_pct"": -40.5}",__json__
Inline claim — -8.4%/-13.9% vs strongest at-target non-filter,"{""metrla_pct"": -8.4, ""pems_bay_pct"": -13.9}",__json__
Inline claim — ACI restores at-target on PEMS-BAY-325 (0.878 -> 0.899),"{""unwrapped"": 0.878, ""wrapped"": 0.899}",__json__
Inline claim — KalmanFCP widens 11x between N=20 and N=325,"{""n20"": 4.69, ""n325"": 51.4, ""ratio"": 10.96}",__json__
"Inline claim — rank sweep r=0..16 widths {5.32, 3.41, 3.21, 3.04, 3.02, 3.08} on metrla-20","{""joint"": [0.939, 0.906, 0.907, 0.907, 0.905, 0.906], ""r"": [0, 1, 2, 4, 8, 16], ""width"": [5.32, 3.41, 3.21, 3.04, 3.02, 3.08]}",__json__
"Inline claim — warm-up sweep t0 ∈ {0,25,50,100,200} widths {3.19,3.05,3.04,3.03,3.03}","{""joint"": [0.908, 0.907, 0.907, 0.907, 0.907], ""t0"": [0, 25, 50, 100, 200], ""width"": [3.19, 3.05, 3.04, 3.03, 3.03]}",__json__
"Inline claim — Trace-ratio Σ_pred/Σ_resid ∈ {0.44, 0.62} on synthetic GRSSF / metrla","{""metrla"": 0.62, ""synthetic"": 0.44}",__json__
Inline claim — spci marginal joint coverage 0.21; HopCPT 0.41,"{""HopCPT_joint_metrla"": 0.41, ""spci_joint_metrla"": 0.21}",__json__
