N,cell,figure,method,panel,width_mean,width_std
20,metrla,fig:headline,AgACIGroupCGIF,1,3.33,0.23
20,metrla,fig:headline,CopulaCPTS,1,3.7,0.24
20,metrla,fig:headline,DiagGRU,1,4.71,1.16
20,metrla,fig:headline,GNF,1,3.05,0.13
20,metrla,fig:headline,GNF+ACI,1,2.95,0.17
20,metrla,fig:headline,MultiDimSPCI,1,4.1,0.17
20,metrla,fig:headline,StaticCGIF,1,3.99,0.17
50,pems_bay,fig:headline,ACIPerGroupFactorCGIF,2,2.3,0.09
50,pems_bay,fig:headline,CopulaCPTS,2,5.69,0.74
50,pems_bay,fig:headline,DiagGRU,2,2.88,0.1
50,pems_bay,fig:headline,GNF,2,1.98,0.06
50,pems_bay,fig:headline,GNF+ACI,2,1.99,0.07
50,pems_bay,fig:headline,MultiDimSPCI,2,3.4,0.11
50,pems_bay,fig:headline,StaticCGIF,2,3.33,0.11
207,metrla_full,fig:headline,ACIPerGroupFactorCGIF,3,7.21,0.0
207,metrla_full,fig:headline,CopulaCPTS,3,6.73,0.04
207,metrla_full,fig:headline,GNF,3,9.14,0.24
207,metrla_full,fig:headline,GNF+ACI,3,9.0,0.6
207,metrla_full,fig:headline,KalmanFCP,3,21.2,0.0
207,metrla_full,fig:headline,MultiDimSPCI,3,12.6,0.0
207,metrla_full,fig:headline,StaticCGIF,3,11.8,0.0
325,pems_bay_full,fig:headline,ACIPerGroupFactorCGIF,4,5.64,0.0
325,pems_bay_full,fig:headline,CopulaCPTS,4,14.4,1.41
325,pems_bay_full,fig:headline,GNF,4,8.58,0.28
325,pems_bay_full,fig:headline,GNF+ACI,4,9.01,0.38
325,pems_bay_full,fig:headline,KalmanFCP,4,51.4,0.0
325,pems_bay_full,fig:headline,MultiDimSPCI,4,12.7,0.0
325,pems_bay_full,fig:headline,StaticCGIF,4,12.0,0.0
