N,cell,figure,method,width_mean,width_std
20,metrla,fig:scale,ACIPerGroupFactorCGIF,3.6,0.28
50,pems_bay,fig:scale,ACIPerGroupFactorCGIF,2.3,0.09
207,metrla_full,fig:scale,ACIPerGroupFactorCGIF,7.21,0.0
325,pems_bay_full,fig:scale,ACIPerGroupFactorCGIF,5.64,0.0
20,metrla,fig:scale,CopulaCPTS,3.7,0.24
50,pems_bay,fig:scale,CopulaCPTS,5.69,0.74
207,metrla_full,fig:scale,CopulaCPTS,6.73,0.04
325,pems_bay_full,fig:scale,CopulaCPTS,14.4,1.41
20,metrla,fig:scale,GNF,3.05,0.13
50,pems_bay,fig:scale,GNF,1.98,0.06
207,metrla_full,fig:scale,GNF,9.14,0.24
325,pems_bay_full,fig:scale,GNF,8.58,0.28
20,metrla,fig:scale,GNF+ACI,2.95,0.17
50,pems_bay,fig:scale,GNF+ACI,1.99,0.07
207,metrla_full,fig:scale,GNF+ACI,9.0,0.6
325,pems_bay_full,fig:scale,GNF+ACI,9.01,0.38
20,metrla,fig:scale,KalmanFCP,4.69,0.28
50,pems_bay,fig:scale,KalmanFCP,11.2,1.03
207,metrla_full,fig:scale,KalmanFCP,21.2,0.0
325,pems_bay_full,fig:scale,KalmanFCP,51.4,0.0
20,metrla,fig:scale,MultiDimSPCI,4.1,0.17
50,pems_bay,fig:scale,MultiDimSPCI,3.4,0.11
207,metrla_full,fig:scale,MultiDimSPCI,12.6,0.0
325,pems_bay_full,fig:scale,MultiDimSPCI,12.7,0.0
20,metrla,fig:scale,StaticCGIF,3.99,0.17
50,pems_bay,fig:scale,StaticCGIF,3.33,0.11
207,metrla_full,fig:scale,StaticCGIF,11.8,0.0
325,pems_bay_full,fig:scale,StaticCGIF,12.0,0.0
