N,cell,method,table,width_mean,width_std
20,metrla,ACIPerGroupFactorCGIF,tab:scale,3.6,0.28
20,metrla,CopulaCPTS,tab:scale,3.7,0.24
20,metrla,GNF,tab:scale,3.05,0.13
20,metrla,GNF+ACI,tab:scale,2.95,0.17
20,metrla,KalmanFCP,tab:scale,4.69,0.28
20,metrla,MultiDimSPCI,tab:scale,4.1,0.17
20,metrla,StaticCGIF,tab:scale,3.99,0.17
50,pems_bay,ACIPerGroupFactorCGIF,tab:scale,2.3,0.09
50,pems_bay,CopulaCPTS,tab:scale,5.69,0.74
50,pems_bay,GNF,tab:scale,1.98,0.06
50,pems_bay,GNF+ACI,tab:scale,1.99,0.07
50,pems_bay,KalmanFCP,tab:scale,11.2,1.03
50,pems_bay,MultiDimSPCI,tab:scale,3.4,0.11
50,pems_bay,StaticCGIF,tab:scale,3.33,0.11
207,metrla_full,ACIPerGroupFactorCGIF,tab:scale,7.21,0.0
207,metrla_full,CopulaCPTS,tab:scale,6.73,0.04
207,metrla_full,GNF,tab:scale,9.14,0.24
207,metrla_full,GNF+ACI,tab:scale,9.0,0.6
207,metrla_full,KalmanFCP,tab:scale,21.2,0.0
207,metrla_full,MultiDimSPCI,tab:scale,12.6,0.0
207,metrla_full,StaticCGIF,tab:scale,11.8,0.0
325,pems_bay_full,ACIPerGroupFactorCGIF,tab:scale,5.64,0.0
325,pems_bay_full,CopulaCPTS,tab:scale,14.4,1.41
325,pems_bay_full,GNF,tab:scale,8.58,0.28
325,pems_bay_full,GNF+ACI,tab:scale,9.01,0.38
325,pems_bay_full,KalmanFCP,tab:scale,51.4,0.0
325,pems_bay_full,MultiDimSPCI,tab:scale,12.7,0.0
325,pems_bay_full,StaticCGIF,tab:scale,12.0,0.0
